trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
588,False,"{'a': 0.3777185243490092, 'e': 0.5554370486980184}",25,0,-80.98362905788973,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
589,False,"{'a': 0.37744094463764744, 'e': 0.5548818892752949}",25,0,-9.173523624770345,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
590,False,"{'a': 0.3771636423672535, 'e': 0.5543272847345071}",30,16,-65.5142371180479,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
591,False,"{'a': 0.3768866172605251, 'e': 0.5537732345210501}",25,11,-37.113551224165526,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
592,False,"{'a': 0.3766098690404369, 'e': 0.5532197380808739}",25,17,-4.456858978000079,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
593,False,"{'a': 0.37633339743024086, 'e': 0.5526667948604818}",20,0,-106.40365421470975,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
594,False,"{'a': 0.3760572021534653, 'e': 0.5521144043069306}",20,3,-2.5508179981541437,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
595,False,"{'a': 0.3757812829339149, 'e': 0.5515625658678298}",25,0,-65.21862126349694,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
596,False,"{'a': 0.3755056394956704, 'e': 0.5510112789913408}",20,16,6.382885913945437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.3752302715630883, 'e': 0.5504605431261766}",25,0,-29.787257272867855,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
598,False,"{'a': 0.37495517886080076, 'e': 0.5499103577216016}",30,0,-51.90410192163006,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
599,False,"{'a': 0.37468036111371505, 'e': 0.54936072222743}",30,8,-1.3066278995227247,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
600,False,"{'a': 0.37440581804701323, 'e': 0.5488116360940265}",20,1,-18.07567487400357,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
601,False,"{'a': 0.37413154938615234, 'e': 0.5482630987723047}",25,7,-33.388441548441754,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
602,False,"{'a': 0.3738575548568638, 'e': 0.5477151097137275}",30,23,-1.1718609718782407,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
603,False,"{'a': 0.37358383418515284, 'e': 0.5471676683703056}",30,16,11.360036202619623,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.3733103870972988, 'e': 0.5466207741945976}",20,6,7.767975693520221,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
605,False,"{'a': 0.37303721331985473, 'e': 0.5460744266397094}",25,0,-37.9654221717079,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
606,False,"{'a': 0.3727643125796467, 'e': 0.5455286251592933}",25,0,2.5987756112675813,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
607,False,"{'a': 0.372491684603774, 'e': 0.544983369207548}",25,2,-20.394472385348802,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
608,False,"{'a': 0.37221932911960853, 'e': 0.5444386582392171}",25,0,-61.77406928835308,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
609,False,"{'a': 0.371947245854795, 'e': 0.5438944917095899}",20,0,-8.696856416463913,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
610,False,"{'a': 0.37167543453724994, 'e': 0.5433508690744998}",25,13,-23.47338821409878,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
611,False,"{'a': 0.371403894895162, 'e': 0.542807789790324}",20,0,-64.50558163937822,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
612,False,"{'a': 0.37113262665699165, 'e': 0.5422652533139832}",25,11,1.6171762426402885,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
613,False,"{'a': 0.3708616295514705, 'e': 0.541723259102941}",20,0,-25.500370235850145,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
614,False,"{'a': 0.37059090330760147, 'e': 0.5411818066152029}",20,11,0.2596745873245254,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
615,False,"{'a': 0.3703204476546583, 'e': 0.5406408953093166}",20,4,-29.803372185476917,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
